Group hierarchy	Region	Description	Service	Upfront	Monthly	First 12 months total	Currency	Configuration summary
My Estimate	US East (N. Virginia)		Amazon EC2	0	7187.39	86248.68	USD	Operating system (Linux), Quantity (7), Pricing strategy (Convertible Reserved Instances 1 Year No Upfront), Storage amount (128 GB), Instance type (m5n.8xlarge)
My Estimate	US East (N. Virginia)		Application Load Balancer	0	649.27	7791.24	USD	Number of Application Load Balancers (3)
My Estimate	US East (N. Virginia)		S3 Standard	0	47.1	565.2	USD	S3 Standard storage (2 TB per month)
My Estimate	US East (N. Virginia)		Data Transfer	0	0	0	USD	
My Estimate	US East (N. Virginia)		Amazon Virtual Private Cloud (VPC)	0	515.7	6188.4	USD	Number of NAT Gateways (2)
My Estimate	US East (N. Virginia)		Amazon Aurora MySQL-Compatible	0	1009.53	12114.36	USD	Change records per statement (0.38), Instance Type (db.r6g.large), Nodes (1), Instance Family (Memory optimized), Pricing Model (OnDemand), Storage amount (8 TB)
My Estimate	US East (N. Virginia)		Amazon Elastic IP	0	7.3	87.6	USD	Number of EC2 instances (2), Number of EIPs per instance (2)
My Estimate	US East (N. Virginia)		Amazon Route 53	0	31	372	USD	Hosted Zones (2), Basic Checks Within AWS (5), Number of domains stored (2), Number of Elastic Network Interfaces ()
					9447.29			
								
								
Acknowledgement								
* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.								